,Date,USD (PM)
0,9/12/16,1324.6
1,9/13/16,1323.65
2,9/14/16,1321.75
3,9/15/16,1310.8
4,9/16/16,1308.35
5,9/17/16,1308.35
6,9/18/16,1308.35
7,9/19/16,1314.85
8,9/20/16,1313.8
9,9/21/16,1326.1
10,9/22/16,1339.1
11,9/23/16,1338.65
12,9/24/16,1338.65
13,9/25/16,1338.65
14,9/26/16,1340.5
15,9/27/16,1327.0
16,9/28/16,1322.5
17,9/29/16,1318.1
18,9/30/16,1322.5
19,10/1/16,1322.5
20,10/2/16,1322.5
21,10/3/16,1313.3
22,10/4/16,1283.3
23,10/5/16,1269.4
24,10/6/16,1254.5
25,10/7/16,1258.75
26,10/8/16,1258.75
27,10/9/16,1258.75
28,10/10/16,1259.5
29,10/11/16,1253.45
30,10/12/16,1256.5
31,10/13/16,1261.05
32,10/14/16,1251.75
33,10/15/16,1251.75
34,10/16/16,1251.75
35,10/17/16,1254.8
36,10/18/16,1258.2
37,10/19/16,1269.05
38,10/20/16,1271.65
39,10/21/16,1266.05
40,10/22/16,1266.05
41,10/23/16,1266.05
42,10/24/16,1265.55
43,10/25/16,1269.4
44,10/26/16,1270.5
45,10/27/16,1266.25
46,10/28/16,1273.0
47,10/29/16,1273.0
48,10/30/16,1273.0
49,10/31/16,1272.0
50,11/1/16,1288.45
51,11/2/16,1303.75
52,11/3/16,1301.0
53,11/4/16,1302.8
54,11/5/16,1302.8
55,11/6/16,1302.8
56,11/7/16,1283.05
57,11/8/16,1282.35
58,11/9/16,1281.4
59,11/10/16,1267.5
60,11/11/16,1236.45
61,11/12/16,1236.45
62,11/13/16,1236.45
63,11/14/16,1213.6
64,11/15/16,1226.95
65,11/16/16,1229.2
66,11/17/16,1226.75
67,11/18/16,1211.0
68,11/19/16,1211.0
69,11/20/16,1211.0
70,11/21/16,1214.25
71,11/22/16,1212.25
72,11/23/16,1185.35
73,11/24/16,1186.1
74,11/25/16,1187.7
75,11/26/16,1187.7
76,11/27/16,1187.7
77,11/28/16,1187.0
78,11/29/16,1186.55
79,11/30/16,1178.1
80,12/1/16,1161.85
81,12/2/16,1173.5
82,12/3/16,1173.5
83,12/4/16,1173.5
84,12/5/16,1162.2
85,12/6/16,1172.5
86,12/7/16,1177.65
87,12/8/16,1171.05
88,12/9/16,1163.6
89,12/10/16,1163.6
90,12/11/16,1163.6
91,12/12/16,1156.1
92,12/13/16,1158.55
93,12/14/16,1162.25
94,12/15/16,1126.95
95,12/16/16,1131.6
96,12/17/16,1131.6
97,12/18/16,1131.6
98,12/19/16,1136.25
99,12/20/16,1125.7
100,12/21/16,1133.65
101,12/22/16,1131.35
102,12/23/16,
103,12/24/16,
104,12/25/16,
105,12/26/16,
106,12/27/16,
107,12/28/16,1134.6
108,12/29/16,1145.9
109,12/30/16,
110,12/31/16,
111,1/1/17,
112,1/2/17,
113,1/3/17,1151.0
114,1/4/17,1164.25
115,1/5/17,1176.7
116,1/6/17,1175.85
117,1/7/17,1175.85
118,1/8/17,1175.85
119,1/9/17,1178.5
120,1/10/17,1189.5
121,1/11/17,1178.55
122,1/12/17,1205.05
123,1/13/17,1190.35
124,1/14/17,1190.35
125,1/15/17,1190.35
126,1/16/17,1203.0
127,1/17/17,1216.05
128,1/18/17,1214.75
